"(0.0, 0.0, 0.0)","(41.395957946777344, 14.36689281463623, 1.0210546255111694)"
"(0.0, 0.0, 0.0)","(41.82004165649414, 14.372746467590332, 1.0000289678573608)"
"(0.0, 0.0, 0.0)","(42.24435043334961, 14.378597259521484, 0.9990266561508179)"
"(0.0, 0.0, 0.0)","(42.66713333129883, 14.38444995880127, 1.012320876121521)"
"(0.0, 0.0, 0.0)","(43.089752197265625, 14.390303611755371, 1.017041802406311)"
"(0.0, 0.0, 0.0)","(43.512367248535156, 14.396157264709473, 1.010873794555664)"
"(0.0, 0.0, 0.0)","(43.9349479675293, 14.402009963989258, 0.9984285831451416)"
"(0.0, 0.0, 0.0)","(44.35723876953125, 14.407716751098633, 1.000876545906067)"
"(0.0, 0.0, 0.0)","(44.77956008911133, 14.413413047790527, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(45.200775146484375, 14.41910457611084, 1.0094484090805054)"
"(0.0, 0.0, 0.0)","(45.621124267578125, 14.424797058105469, 1.0199792385101318)"
"(0.0, 0.0, 0.0)","(46.041473388671875, 14.430488586425781, 1.0196210145950317)"
"(0.0, 0.0, 0.0)","(46.461822509765625, 14.43618106842041, 1.0083739757537842)"
"(0.0, 0.0, 0.0)","(46.88213348388672, 14.441871643066406, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(47.30242156982422, 14.447561264038086, 0.9974914789199829)"
"(0.0, 0.0, 0.0)","(47.72230529785156, 14.453250885009766, 1.0025089979171753)"
"(0.0, 0.0, 0.0)","(48.14126205444336, 14.458941459655762, 1.011594295501709)"
"(0.0, 0.0, 0.0)","(48.56021499633789, 14.464632987976074, 1.0097905397415161)"
"(0.0, 0.0, 0.0)","(48.97881317138672, 14.47032356262207, 1.0009664297103882)"
"(0.0, 0.0, 0.0)","(49.39457321166992, 14.476015090942383, 1.013798475265503)"
"(0.0, 0.0, 0.0)","(49.810333251953125, 14.481706619262695, 1.0157415866851807)"
"(0.0, 0.0, 0.0)","(50.226097106933594, 14.487398147583008, 1.0067957639694214)"
"(0.0, 0.0, 0.0)","(50.64169692993164, 14.49328899383545, 0.997966468334198)"
"(0.0, 0.0, 0.0)","(51.05719757080078, 14.498977661132812, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(51.47269821166992, 14.50466537475586, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(51.887359619140625, 14.510350227355957, 1.0066972970962524)"
"(0.0, 0.0, 0.0)","(52.301658630371094, 14.516033172607422, 1.010288119316101)"
"(0.0, 0.0, 0.0)","(52.71595764160156, 14.52171516418457, 1.0029898881912231)"
"(0.0, 0.0, 0.0)","(53.12989807128906, 14.527399063110352, 1.0003011226654053)"
"(0.0, 0.0, 0.0)","(52.87284851074219, 14.531679153442383, 1.101499080657959)"
"(0.0, 0.0, 0.0)","(52.541259765625, 14.53580379486084, 1.20356285572052)"
"(0.0, 0.0, 0.0)","(52.20967102050781, 14.539928436279297, 1.294737696647644)"
"(0.0, 0.0, 0.0)","(51.87807846069336, 14.544053077697754, 1.375023603439331)"
"(0.0, 0.0, 0.0)","(51.54648971557617, 14.548177719116211, 1.4444206953048706)"
"(0.0, 0.0, 0.0)","(51.214900970458984, 14.552302360534668, 1.5029288530349731)"
"(0.0, 0.0, 0.0)","(50.8833122253418, 14.556427001953125, 1.5505481958389282)"
"(0.0, 0.0, 0.0)","(50.55172348022461, 14.560551643371582, 1.5872786045074463)"
"(0.0, 0.0, 0.0)","(50.220130920410156, 14.564676284790039, 1.613120198249817)"
"(0.0, 0.0, 0.0)","(49.88854217529297, 14.568800926208496, 1.628072738647461)"
"(0.0, 0.0, 0.0)","(49.55695343017578, 14.572925567626953, 1.6321364641189575)"
"(0.0, 0.0, 0.0)","(49.225364685058594, 14.57705020904541, 1.6253113746643066)"
"(0.0, 0.0, 0.0)","(48.89377212524414, 14.581174850463867, 1.6075973510742188)"
"(0.0, 0.0, 0.0)","(48.56218338012695, 14.585299491882324, 1.5789943933486938)"
"(0.0, 0.0, 0.0)","(48.230594635009766, 14.589424133300781, 1.5395026206970215)"
"(0.0, 0.0, 0.0)","(47.89900588989258, 14.593548774719238, 1.489121913909912)"
"(0.0, 0.0, 0.0)","(47.567413330078125, 14.597673416137695, 1.4278522729873657)"
"(0.0, 0.0, 0.0)","(47.23582458496094, 14.601798057556152, 1.3556938171386719)"
"(0.0, 0.0, 0.0)","(46.90423583984375, 14.60592269897461, 1.272646427154541)"
"(0.0, 0.0, 0.0)","(46.57264709472656, 14.610047340393066, 1.1787101030349731)"
"(0.0, 0.0, 0.0)","(46.241058349609375, 14.614171981811523, 1.0738849639892578)"
"(0.0, 0.0, 0.0)","(45.93143081665039, 14.61837387084961, 1.0144925117492676)"
"(0.0, 0.0, 0.0)","(45.654754638671875, 14.622692108154297, 1.028693675994873)"
"(0.0, 0.0, 0.0)","(45.37807846069336, 14.627010345458984, 1.0320059061050415)"
"(0.0, 0.0, 0.0)","(45.101402282714844, 14.631328582763672, 1.024429202079773)"
"(0.0, 0.0, 0.0)","(44.82472610473633, 14.63564682006836, 1.005963683128357)"
"(0.0, 0.0, 0.0)","(44.556243896484375, 14.639667510986328, 0.9976138472557068)"
"(0.0, 0.0, 0.0)","(44.29528045654297, 14.643453598022461, 0.9976577758789062)"
"(0.0, 0.0, 0.0)","(44.03855895996094, 14.647160530090332, 0.9976869225502014)"
"(0.0, 0.0, 0.0)","(43.786441802978516, 14.650830268859863, 0.9982189536094666)"
"(0.0, 0.0, 0.0)","(43.53963851928711, 14.654497146606445, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(43.29728317260742, 14.658196449279785, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(43.059173583984375, 14.661927223205566, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(42.82530975341797, 14.665688514709473, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(42.59569549560547, 14.669482231140137, 0.9977049231529236)"
"(0.0, 0.0, 0.0)","(42.371219635009766, 14.673349380493164, 0.9989703893661499)"
"(0.0, 0.0, 0.0)","(42.150482177734375, 14.677360534667969, 0.9974123239517212)"
"(0.0, 0.0, 0.0)","(41.9345588684082, 14.681682586669922, 0.9972983598709106)"
"(0.0, 0.0, 0.0)","(41.72306442260742, 14.68620777130127, 0.9976113438606262)"
"(0.0, 0.0, 0.0)","(41.51573181152344, 14.690719604492188, 0.9976948499679565)"
