session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
6156436e78971c1db0b43f40,613d54e0d386dced808141e4,APPROVED,2021-09-30 23:08:33.189000,2021-09-30 23:28:37.840000,1204.651,24,11,0,100,2021-10-01 17:05:53.593000,NOCODE,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,Yes
6156436ebbab4d85c42bcbb0,614ed6f3ef0de1d05b8153a5,APPROVED,2021-09-30 23:08:33.133000,2021-09-30 23:19:19.063000,645.93,46,12,1,97,2021-10-01 17:04:54.266000,NOCODE,Angola,Portugal,Full-Time,Portuguese,"Portuguese, Spanish, English",Portugal,Male,No
615643796c29b2928bbe7d6f,615282175dc69d49906c60e7,APPROVED,2021-09-30 23:08:47.457000,2021-09-30 23:28:56.870000,1209.413,22,4,0,100,2021-10-01 17:01:06.479000,Goodbye,Chile,Chile,Part-Time,Spanish,"Spanish, English",Chile,Female,Yes
6156437e4c6e075f279a45d9,61520b079436973e05f72d33,APPROVED,2021-09-30 23:09:02.310000,2021-09-30 23:27:49.010000,1126.7,21,9,0,100,2021-10-01 17:01:18.910000,875B6695,Italy,Italy,Other,Italian,"Italian, English",Italy,Male,Yes
61564380a058344d49f55f69,6150eacdab54fa7b7fd78f39,APPROVED,2021-09-30 23:08:52.624000,2021-09-30 23:30:56.146000,1323.522,35,3,0,100,2021-10-01 17:01:20.570000,875B6695,Zimbabwe,South Africa,Other,DATA EXPIRED,English,Zimbabwe,Male,Yes
615643895b7ca628958dd7cb,61548a52f504471d4e3cc8cb,APPROVED,2021-09-30 23:09:40.301000,2021-09-30 23:23:25.126000,824.825,18,8,1,97,2021-10-01 16:59:44.086000,875B6695,Spain,Spain,Unemployed (and job seeking),Spanish,"English, Spanish",Spain,Male,Yes
6156438e6c29b2928bbe7d71,615053c3e14827796d681870,APPROVED,2021-09-30 23:14:27.858000,2021-09-30 23:43:26.296000,1738.438,24,2,0,100,2021-10-01 17:01:21.208000,875B6695,DATA EXPIRED,South Africa,Unemployed (and job seeking),Afrikaans,"Afrikaans, English",South Africa,Female,DATA EXPIRED
615643a000bb0527c54c49d9,613aa02f57a0c9e6fcab4bf6,APPROVED,2021-09-30 23:09:23.487000,2021-09-30 23:40:47.958000,1884.471,21,8,0,100,2021-10-01 17:05:55.991000,875B6695,Mexico,Mexico,Other,Spanish,"English, Spanish",Mexico,Male,Yes
615643a30ff8a0a43e0e6d8d,614117b9f9bb166fb7990fca,RETURNED,2021-09-30 23:09:23.229000,,505880.493728,23,7,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615643ce06fd9bfaac73245a,6154f3944aafae35e9e26b36,APPROVED,2021-09-30 23:10:16.807000,2021-09-30 23:29:22.127000,1145.32,28,5,0,100,2021-10-01 16:59:24.582000,875B6695,Mexico,Mexico,Full-Time,Spanish,English,Mexico,Male,Yes
