,jspsychID,trial_num,stimulus,time_elapse,causal_rating,cause_rt,animacy_rating,anim_rt,trial_rt,time_elapse.1,subject_id,vid_num,ball A,outcome,cf
73,bht4czhyag645lg,26,02_a_in_out.mp4,455964.0,32,6822.5,85,10836.400000035765,11407.600000023842,455964.0,8,2,animate,in,out
74,bht4czhyag645lg,27,04_a_in_out.mp4,469977.0,92,9754.5,84,11579.5,12502.5,469977.0,8,4,animate,in,out
75,bht4czhyag645lg,28,06_p_in_out.mp4,478197.0,86,4431.099999964237,13,6433.099999964237,7216.0,478197.0,8,6,inanimate,in,out
76,bht4czhyag645lg,29,16_p_out_out.mp4,494462.0,66,11138.200000047684,19,13675.30000001192,14503.30000001192,494462.0,8,16,inanimate,out,out
77,bht4czhyag645lg,30,05_p_in_out.mp4,508013.0,100,9992.700000047684,1,11492.600000023842,12047.80000001192,508013.0,8,5,inanimate,in,out
78,bht4czhyag645lg,31,13_a_out_out.mp4,515532.0,100,4532.5,100,5633.399999976158,6254.5,515532.0,8,13,animate,out,out
79,bht4czhyag645lg,32,21_a_out_in.mp4,527486.0,72,9038.0,100,10829.899999976158,11449.899999976158,527486.0,8,21,animate,out,in
80,bht4czhyag645lg,33,11_a_in_in.mp4,542024.0,33,10530.600000023842,100,11914.5,12770.69999998808,542024.0,8,11,animate,in,in
81,bht4czhyag645lg,34,11_p_in_in.mp4,553606.0,20,5352.600000023842,1,9729.600000023842,10828.600000023842,553606.0,8,11,inanimate,in,in
82,bht4czhyag645lg,35,20_p_out_in.mp4,562454.0,20,5775.899999976158,22,7911.0,8343.899999976158,562454.0,8,20,inanimate,out,in
83,bht4czhyag645lg,36,01_p_in_out.mp4,571479.0,70,4898.699999988079,14,6916.800000011921,7512.599999964237,571479.0,8,1,inanimate,in,out
84,bht4czhyag645lg,37,17_p_out_out.mp4,582280.0,1,8099.599999964237,1,9439.599999964235,10045.599999964235,582280.0,8,17,inanimate,out,out
85,bht4czhyag645lg,38,18_p_out_out.mp4,595063.0,1,9683.0,1,10821.099999964235,11529.30000001192,595063.0,8,18,inanimate,out,out
